leaid,leaname,BLP,BLPPer,HSP,HSPPer,MFI,grade,Region,gapblk_ela,gapseblk_ela,gaphsp_ela,gapsehsp_ela,gapblk_math,gapseblk_math,gaphsp_math,gapsehsp_math,racepercent_ela,racepercent_math,fipst
3700750,CHATHAM COUNTY SCHOOLS,8201,13.3,7511,12.2,65914,6,3,0.96218449,0.12352834,0.95135266,0.11311822,0.91335702,0.12853135,0.97292382,0.11092675,0.95585996,0.95592707,37
3700750,CHATHAM COUNTY SCHOOLS,8201,13.3,7511,12.2,65914,7,3,0.87495685,0.15135911,0.7497763,0.12142801,0.9694919,0.14181933,0.80195194,0.1215269,0.95547944,0.95540309,37
3700750,CHATHAM COUNTY SCHOOLS,8201,13.3,7511,12.2,65914,8,3,0.56891173,0.12530968,0.85924619,0.12837285,0.67539251,0.12782294,0.71640503,0.13022061,0.96805114,0.96805114,37
3700840,EDENTON/CHOWAN SCHOOLS,5196,35.5,310,2.1,37825,3,1,0.95087367,0.1877099,,,1.0498315,0.19353755,,,0.97175139,0.97175139,37
3700840,EDENTON/CHOWAN SCHOOLS,5196,35.5,310,2.1,37825,4,1,0.99323028,0.18620914,,,1.1760476,0.19850709,,,0.97076023,0.97076023,37
3700840,EDENTON/CHOWAN SCHOOLS,5196,35.5,310,2.1,37825,5,1,1.0020175,0.20469101,,,1.2921569,0.22205181,,,0.98064518,0.98064518,37
3700840,EDENTON/CHOWAN SCHOOLS,5196,35.5,310,2.1,37825,6,1,0.86612356,0.16901976,,,0.95862198,0.17841847,,,0.96938777,0.96938777,37
3700840,EDENTON/CHOWAN SCHOOLS,5196,35.5,310,2.1,37825,7,1,1.2201201,0.19352093,,,0.84459573,0.19212134,,,0.97530866,0.97530866,37
3700840,EDENTON/CHOWAN SCHOOLS,5196,35.5,310,2.1,37825,8,1,1.2701513,0.19594046,,,0.80525726,0.17455846,,,0.99479169,0.99479169,37
3700900,CLEVELAND COUNTY SCHOOLS,20087,20.4,2096,2.1,47690,3,6,0.62109548,0.069061778,0.8623935,0.18351413,0.64865845,0.073116504,0.47390464,0.18642902,0.96698111,0.96698111,37
3700900,CLEVELAND COUNTY SCHOOLS,20087,20.4,2096,2.1,47690,4,6,0.59742111,0.077191837,0.44711742,0.18880397,0.66781282,0.078508817,0.078328893,0.18133809,0.95659298,0.95659298,37
3700900,CLEVELAND COUNTY SCHOOLS,20087,20.4,2096,2.1,47690,5,6,0.71549553,0.073877625,0.7939412,0.19459744,0.59869891,0.07302992,0.49722782,0.19531083,0.97222221,0.97222221,37
3700900,CLEVELAND COUNTY SCHOOLS,20087,20.4,2096,2.1,47690,6,6,0.71660435,0.071442574,0.2874057,0.19044347,0.81165195,0.073259696,0.53624338,0.1771137,0.97347265,0.97347265,37
3700900,CLEVELAND COUNTY SCHOOLS,20087,20.4,2096,2.1,47690,7,6,0.59500122,0.069345087,0.19922811,0.19929591,0.64437699,0.075045832,0.23927501,0.21128537,0.98168194,0.98166668,37
3700900,CLEVELAND COUNTY SCHOOLS,20087,20.4,2096,2.1,47690,8,6,0.86176193,0.075506151,0.46669379,0.19694415,0.60696411,0.072332069,0.28946313,0.18523653,0.97531849,0.97529882,37
3700930,CLINTON CITY SCHOOLS,5313,32.8,2343,14.4,43438,3,4,1.0823572,0.16221178,0.89817697,0.22863454,1.1120949,0.18991321,0.78612393,0.2801719,0.96551722,0.96551722,37
